ID,Name,Category,Subcategory,Area,Price Range,isFeatured,Status,Has Insider Tip,Description (first 80 chars),KEEP? (yes/no),FEATURED? (yes/no),INSIDER PICK? (yes/no),BEST OF? (yes/no),Latitude,Longitude,TripAdvisor Rating,TripAdvisor Reviews,Hours,SEO Description,NOTES
b036,BJ's Backyard,eat,Seafood,Oak Ridge,$,no,active,yes,"Over-the-water seafood shack in Oak Ridge, going strong for 35+ years. Conch burgers, garlic-butter shrimp, and ice-cold Salva Vidas served where the shrimping boats dock. Friday afternoon live music. The real, unhurried Roatan.",yes,no,yes,no,16.3800,-86.3700,4.5,50,Daily; Fri live entertainment,"Over-the-water seafood shack in Oak Ridge, going strong for 35+ years. Conch burgers, garlic-butter shrimp, and ice-cold Salva Vidas served where the shrimping boats dock. Friday afternoon live music. The real, unhurried Roatan.",25+ years over the water in Oak Ridge; the real deal
b072,Native Sons Diving,dive,Dive Shop,West End,$$,YES,active,yes,"Founded in 1993 by local dive legend Alvin Jackson — the longest same-owner dive shop on Roatan. Boutique groups on his custom-built 48ft Uba Isti boat, valet diving, and 60+ years of intimate reef knowledge. A spotless safety record and a true island original.",yes,no,yes,no,16.3080,-86.5510,5.0,1200,Daily 8am–5pm,"Founded in 1993 by local dive legend Alvin Jackson — the longest same-owner dive shop on Roatan. Boutique groups on his custom-built 48ft Uba Isti boat, valet diving, and 60+ years of intimate reef knowledge. A spotless safety record and a true island original.",Alvin Jackson — longest same-owner dive shop on island
b005,Anthony's Chicken,eat,Caribbean Fusion,West End,$,no,active,yes,"Rosie's legendary jerk chicken — custom-spiced to your heat level and served with her famous rice and beans. A $7 meal that rivals anything on the island. Cash only, made to order, worth every minute of the wait. A true West End institution.",yes,no,yes,no,16.3090,-86.5520,4.7,465,Daily; hours vary,"Rosie's legendary jerk chicken — custom-spiced to your heat level and served with her famous rice and beans. A $7 meal that rivals anything on the island. Cash only, made to order, worth every minute of the wait. A true West End institution.",Ask for Rosie — she runs the kitchen
b108,Punta Gorda Garifuna Nights,nightlife,Live Music,Punta Gorda,$,no,active,yes,Authentic Garifuna drumming and cultural performances in the traditional village of Punta Gorda. Two-hour shows with traditional dinner under thatch palapas. UNESCO-recognized intangible heritage — a soul-stirring experience you won't find in any resort.,yes,no,yes,no,16.3500,-86.4000,4.5,50,2-hour performances; check schedule,Authentic Garifuna drumming and cultural performances in the traditional village of Punta Gorda. Two-hour shows with traditional dinner under thatch palapas. UNESCO-recognized intangible heritage — a soul-stirring experience you won't find in any resort.,Authentic Garifuna drumming; cultural treasure
b118,Roatan Chocolate Factory,tours,Food Tour,West End,$,no,active,yes,"Bean-to-bar chocolate tour using 100% organic Honduran cacao. Watch the full process, sample 12 varieties, or take a hands-on chocolate-making class. Founded 2010 on West End's main street — sweet, educational, and uniquely Roatan.",yes,no,yes,no,16.3090,-86.5520,4.8,300,Daily 8am–5pm; Classes start 2pm,"Bean-to-bar chocolate tour using 100% organic Honduran cacao. Watch the full process, sample 12 varieties, or take a hands-on chocolate-making class. Founded 2010 on West End's main street — sweet, educational, and uniquely Roatan.",Bean-to-bar tour with Honduran cacao
b135,Rusty Fish Recycled Island Art,shop,Art Gallery,West End,$$,no,active,yes,"Beautiful art made from ocean debris and recycled materials collected around Roatan. Founded by Adam Hunt, benefiting 60 local families. Metal pieces, mosaics, and windchimes — each one unique, meaningful, and impossible to find anywhere else.",yes,no,yes,no,16.3065,-86.5895,4.5,300,Daily,"Beautiful art made from ocean debris and recycled materials collected around Roatan. Founded by Adam Hunt, benefiting 60 local families. Metal pieces, mosaics, and windchimes — each one unique, meaningful, and impossible to find anywhere else.",Beautiful art made from ocean debris and recycled materials
b098,RoaCrawl Bar Crawl,nightlife,Night Club,West End,$,no,active,yes,"Organized bar crawl through West End's best nightlife spots with guides, drink specials at each stop, and round-trip transport. Hits Frank's, Booty Bar, and more. $169/person for the ultimate insider's night out — the fastest way to experience it all.",yes,no,yes,no,16.3090,-86.5520,4.5,50,6-hour guided crawl; evenings,"Organized bar crawl through West End's best nightlife spots with guides, drink specials at each stop, and round-trip transport. Hits Frank's, Booty Bar, and more. $169/person for the ultimate insider's night out — the fastest way to experience it all.",Best way to experience West End nightlife in one night
b065,Paya Bay Beach Bar,drink,Beach Bar,Camp Bay,$$,no,active,yes,"Secluded bohemian beach bar at the island's quiet east end, perched on a bluff above Bliss Beach. 24-hour bar, pristine sand, zero crowds, and a clothing-optional vibe that's not for everyone — but unforgettable if it's your scene.",yes,no,no,no,16.4000,-86.3200,4.6,100,24-hour bar,"Secluded bohemian beach bar at the island's quiet east end, perched on a bluff above Bliss Beach. 24-hour bar, pristine sand, zero crowds, and a clothing-optional vibe that's not for everyone — but unforgettable if it's your scene.",Clothing-optional bohemian vibe; not for everyone
b076,Dockside Dive Center,dive,Dive Shop,French Harbour,$$,no,active,yes,Full-service PADI 5-Star dive center at CoCo View Resort offering world-class wa...,no,no,no,no,,,,,,,CoCo View Resort already listed in Stay category
b197,Punta Gorda Beach,beaches,Public Beach,Punta Gorda,$,no,active,yes,"Beach at Honduras' oldest Garifuna settlement, founded ~1797. Cultural significance meets Caribbean sand. Traditional huts, drum ceremonies, and yucca bread alongside gentle waves. A living connection to Roatan's Afro-Caribbean heritage — not just a beach, a story.",yes,no,no,no,16.4120,-86.3733,4.0,50,Open 24/7,"Beach at Honduras' oldest Garifuna settlement, founded ~1797. Cultural significance meets Caribbean sand. Traditional huts, drum ceremonies, and yucca bread alongside gentle waves. A living connection to Roatan's Afro-Caribbean heritage — not just a beach, a story.",Cultural significance — oldest Garifuna settlement in Honduras
