ID,Name,Slug,Status,Category,Subcategory,Area,Price Range,Featured,Insider Pick,Best Of,Verified,Description,Insider Tip,Address Description,Hours Text,Phone,WhatsApp,Email,Website,Facebook,Instagram,Latitude,Longitude,Rating,Review Count,Features,Collections,Images,Additional Categories,Additional Locations,Menu Images
b001,Sundowners Bar & Grill,sundowners-bar-grill,active,Eat,Seafood,West End,$$,yes,no,no,yes,"Iconic West End waterfront restaurant and bar on Half Moon Bay Beach. Fresh seafood, Caribbean favorites, famous Monkey La La cocktails, and the best sunset views on Roatan. Live music Tue & Fri nights.",Grab a dock seat by 4:30pm for sunset.,"Main road in West End, on the water",Daily 7am–10pm; Happy Hour 5–7pm,+504-9876-5432,+50498765432,,https://sundownersroatan.com,,@sundownersroatan,16.306575,-86.592659,4.6,1562,"Waterfront, Live Music, WiFi, Beachfront, Happy Hour, Music",,business_placeholder,drink:Beach Bar | nightlife:Live Music,,
b002,Cannibal Cafe,cannibal-cafe,active,Eat,Mexican,West End,$,no,no,no,yes,"Best Mexican food on Roatan since 1996. Home of the legendary Big Kahuna Burrito, lionfish tacos, and a DIY salsa bar with custom spice levels. Huge portions, tiny prices — locals and divers pack this two-story West End spot nightly.",The banana pancakes are legendary.,"Half Moon Bay road, West End",Mon–Sat 7am–10pm; Closed Sun,+504-9871-2345,+50498712345,,,,,16.304557,-86.593733,4.4,624,"Breakfast, Budget Friendly, Takeout",,business_placeholder,,,
b003,Roatan Oasis,roatan-oasis,active,Eat,Fine Dining,West End,$$$,yes,no,no,yes,"Top-rated fine dining in West End with an internationally inspired, ever-changing menu. Steaks, fresh-caught seafood, and the island's largest craft beer selection. Stunning sunset views — reserve ahead, this intimate gem fills up fast.",Try the chipotle ribs and blue cheese gnocchi.,"Main road, West End",Tue–Fri 5:30pm–8pm; Reservations required,+504-9870-1234,+50498701234,,,,@roatanoasis,16.302561,-86.590573,4.8,1104,"Romantic, Cocktails, Reservations",,business_placeholder,,,
b004,Calelu's,calelus,active,Eat,Street Food,West End,$,no,yes,no,yes,"The baleada stand West End locals swear by. Giant fresh flour tortillas stuffed to order for under $2, plus a daily $6 lunch plate with meat, plantains, rice, and salad. Ocean-view patio upstairs — bring cash and an appetite.",Get the loaded baleada for under $2 - best deal on the island.,"Main road, West End",Daily lunch & dinner,,,,,,,16.304557,-86.5939,4.0,377,"Budget Friendly, Local Food, Quick Service",,business_placeholder,,,
b005,Anthony's Chicken,anthonys-chicken,active,Eat,Caribbean Fusion,West End,$,no,yes,no,yes,"Rosie's legendary jerk chicken — custom-spiced to your heat level and served with her famous rice and beans. A $7 meal that rivals anything on the island. Cash only, made to order, worth every minute of the wait. A true West End institution.",The jerk chicken is a must - pair it with a cold local beer.,"Main road, West End",Daily; hours vary,,,,,,,16.302525,-86.593941,4.7,465,"Local Food, Budget Friendly, Takeout",,business_placeholder,,,
b007,Pazzo Italian Restaurant,pazzo-italian,active,Eat,Italian,West End,$$,no,no,no,yes,"Tiny 25-seat Italian bistro where Chef Gianni handmakes every pasta dish to order. BYOB, reservations required 2+ weeks in advance — and absolutely worth the planning. Bruschetta and lasagna are the stuff of Roatan legend.",Reservations are essential - seating is very limited. Bring your own wine!,"West End, near Half Moon Bay",Mon–Fri 5:30pm–9pm; Closed Sat & Sun,,,,,,,16.305326,-86.592251,4.8,250,"Romantic, Reservations, Vegetarian Options",,business_placeholder,,,
b009,Mila del Mar,mila-del-mar,active,Eat,Fine Dining,West End,$$$,no,no,no,yes,"Ranked #3 restaurant in West End on TripAdvisor. Upscale Caribbean dining on the second floor of The Beach House with unobstructed Half Moon Bay views. Locally caught fish, craft cocktails, and warm candlelit ambiance — pure island elegance.",Sunset dinner on the second floor terrace is unforgettable.,"The Beach House, Half Moon Bay, West End",Breakfast 7–10:30am; Dinner noon–9pm daily,,,,,,@miladelmar_roatan,16.306198,-86.59264,4.9,238,"Ocean View, Romantic, Cocktails",,business_placeholder,,,
b010,Blue Elephant Thai,blue-elephant-thai,active,Eat,Asian,West End,$$,no,no,no,yes,"Surprisingly authentic Thai cuisine overlooking the bay in West End. Two floors of seating plus waterfront tables. Pad thai, green curry, and spicy noodle dishes served with 16+ years of culinary expertise. A welcome change from Caribbean fare.",The pad thai with lobster is the splurge-worthy order.,"Waterfront, West End",Tue–Sun 11am–9:30pm,,,,,,,16.304627,-86.594075,4.6,261,"Waterfront, Vegetarian Options, Ocean View",,business_placeholder,,,
b011,Crisp Roatan,crisp-roatan,active,Eat,Cafe,West End,$,no,no,no,yes,"Roatan's go-to for fresh poke bowls, colorful salads, and cold-pressed juices in an Instagram-worthy setting. AC, WiFi, and vegan-friendly options make this cheerful West End cafe the perfect healthy lunch break between dives.",The poke bowls are fresh and perfectly portioned for a light lunch.,West End village,Mon–Sat 10:30am–6pm; Closed Sun,,,,,,@crisproatan,16.3043,-86.594,5.0,50,"Vegetarian Options, Quick Service, WiFi",,business_placeholder,,,
b012,Sandy Buns Bakery,sandy-buns,active,Eat,Cafe,West End,$,yes,no,no,yes,"Voted #1 restaurant in West End by locals. Famous cinnamon rolls, Texas-style smoked brisket, and freshly baked breads by a former Texas couple. Gluten-free options with a dedicated fryer. Breakfast and lunch only — get there early.",Get there early - the fresh baked goods sell out fast.,Heart of West End,Daily 8am–3pm,,,,,,@sandybunsroatan,16.304951,-86.593557,4.7,368,"Breakfast, Coffee, Pastries",,business_placeholder,,,
